transition,folder,tag,model,calibration,param,k4,chi,chi_err,chi_B,variance,variance_err,variance_B,ess_frac
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03866,0.9693558,-0.0019492335498524152,0.005723358792212673,21.0,-0.001724018606813104,0.005440128052039801,21.0,0.005328106527783702
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03868,0.9693484,-0.0019801627542216345,0.005247489343998818,21.0,-0.001784352751888877,0.005006279837895535,21.0,0.00498321215325415
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.0387,0.969341,-0.0019790116965302477,0.004805273556532589,21.0,-0.0018091595644117182,0.004599896508417935,21.0,0.004671547235562124
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03872,0.9693336,-0.001952372049748913,0.004395338128602788,21.0,-0.0018053218894538339,0.004220485385649791,21.0,0.004389135498216952
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03874,0.9693262,-0.0019058724025121058,0.004016191974343483,21.0,-0.0017787675251243343,0.003867320142868455,21.0,0.004132544353858144
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03876,0.9693188,-0.00184428083348741,0.0036662634902976604,21.0,-0.001734559509067029,0.003539490845909499,21.0,0.0038988031571142875
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03878,0.9693114,-0.0017723880134951652,0.003344954073312211,22.0,-0.0016773155506926785,0.0032364771615584517,22.0,0.0036853346483106185
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.0388,0.9693039999999999,-0.001692777076373028,0.0030496695996340417,22.0,-0.0016108135622527886,0.0029571825016608206,22.0,0.003489897347764067
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03882,0.9692966,-0.0016080331936025342,0.0027784930873883187,22.0,-0.00153741233565519,0.0026996013608588387,22.0,0.0033105370537382505
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03884,0.9692892,-0.0015204092295837213,0.0025298402135653206,22.0,-0.0014595845075912645,0.002462506924936619,22.0,0.003145545920416168
