transition,model,feature_set,calibration,critical_parameter,critical_value,x,distance_from_critical,chi_err
BCb,Logistic Regression,30,calibrated,Delta_crit,0.0379347080808661,0.0386,0.0006652919191338993,0.000696387598342
BCb,Logistic Regression,30,calibrated,Delta_crit,0.0379347080808661,0.037,0.0009347080808661049,0.0001517463733564
BCb,Logistic Regression,20,uncalibrated,Delta_crit,0.0379694506665985,0.0378,0.00016945066659850017,0.0178384478055732
BCb,Logistic Regression,20,uncalibrated,Delta_crit,0.0379694506665985,0.0382,0.00023054933340149741,0.0222532750743549
BCb,Logistic Regression,20,uncalibrated,Delta_crit,0.0379694506665985,0.0374,0.0005694506665984977,0.0017481133536333
BCb,Logistic Regression,20,uncalibrated,Delta_crit,0.0379694506665985,0.0386,0.0006305493334015019,0.0001347050728227
BCb,Logistic Regression,20,uncalibrated,Delta_crit,0.0379694506665985,0.037,0.0009694506665985023,3.70121517762369e-07
BCb,Logistic Regression,20,calibrated,Delta_crit,0.0379910746063448,0.0378,0.00019107460634480017,0.0070610739116161
BCb,Logistic Regression,20,calibrated,Delta_crit,0.0379910746063448,0.0382,0.0002089253936551974,0.0111039496364706
BCb,Logistic Regression,20,calibrated,Delta_crit,0.0379910746063448,0.0374,0.0005910746063447977,0.002494677541539
BCb,Logistic Regression,20,calibrated,Delta_crit,0.0379910746063448,0.0386,0.0006089253936552019,0.001406028702728
BCb,Logistic Regression,20,calibrated,Delta_crit,0.0379910746063448,0.037,0.0009910746063448023,6.93252952709727e-05
BCb,Logistic Regression,12,uncalibrated,Delta_crit,0.037916213318502,0.0378,0.00011621331850199951,0.0151654114936343
BCb,Logistic Regression,12,uncalibrated,Delta_crit,0.037916213318502,0.0382,0.00028378668149799807,0.0159696236252411
BCb,Logistic Regression,12,uncalibrated,Delta_crit,0.037916213318502,0.0374,0.0005162133185019971,0.005551941932714
BCb,Logistic Regression,12,uncalibrated,Delta_crit,0.037916213318502,0.0386,0.0006837866814980026,3.41820230617034e-05
BCb,Logistic Regression,12,uncalibrated,Delta_crit,0.037916213318502,0.037,0.0009162133185020016,3.59114179693342e-06
BCb,Logistic Regression,12,calibrated,Delta_crit,0.0379363536840316,0.0378,0.00013635368403160097,0.0085432583443438
BCb,Logistic Regression,12,calibrated,Delta_crit,0.0379363536840316,0.0382,0.0002636463159683966,0.0098666236132165
BCb,Logistic Regression,12,calibrated,Delta_crit,0.0379363536840316,0.0374,0.0005363536840315986,0.0043290943457426
BCb,Logistic Regression,12,calibrated,Delta_crit,0.0379363536840316,0.0386,0.0006636463159684011,0.0007100471160339
BCb,Logistic Regression,12,calibrated,Delta_crit,0.0379363536840316,0.037,0.0009363536840316031,0.0001477905874625
BCb,Random Forest,30,uncalibrated,Delta_crit,0.0380403762247638,0.0382,0.00015962377523619925,0.0098152494180453
BCb,Random Forest,30,uncalibrated,Delta_crit,0.0380403762247638,0.0378,0.00024037622476379833,0.0075586409261179
BCb,Random Forest,30,uncalibrated,Delta_crit,0.0380403762247638,0.0386,0.0005596237752362038,0.0031162532471805
BCb,Random Forest,30,uncalibrated,Delta_crit,0.0380403762247638,0.0374,0.0006403762247637959,0.0007511816145922
BCb,Random Forest,30,uncalibrated,Delta_crit,0.0380403762247638,0.039,0.0009596237752362013,0.0006589097087604
BCb,Random Forest,30,calibrated,Delta_crit,0.0379988957557131,0.0378,0.00019889575571310075,0.0275712964923428
BCb,Random Forest,30,calibrated,Delta_crit,0.0379988957557131,0.0382,0.00020110424428689683,0.0350221500483604
BCb,Random Forest,30,calibrated,Delta_crit,0.0379988957557131,0.0374,0.0005988957557130983,0.0004499076759969
BCb,Random Forest,30,calibrated,Delta_crit,0.0379988957557131,0.0386,0.0006011042442869013,8.37236333177207e-05
BCb,Random Forest,30,calibrated,Delta_crit,0.0379988957557131,0.037,0.0009988957557131029,1.3409678858973e-07
BCb,Random Forest,20,uncalibrated,Delta_crit,0.0381940624542248,0.0382,5.937545775200337e-06,0.0057450713459761
BCb,Random Forest,20,uncalibrated,Delta_crit,0.0381940624542248,0.0378,0.00039406245422479724,0.0029421475540814
BCb,Random Forest,20,uncalibrated,Delta_crit,0.0381940624542248,0.0386,0.00040593754577520486,0.0071927536963351
BCb,Random Forest,20,uncalibrated,Delta_crit,0.0381940624542248,0.0374,0.0007940624542247948,0.0004883952750055
BCb,Random Forest,20,uncalibrated,Delta_crit,0.0381940624542248,0.039,0.0008059375457752024,0.0025634993915937
