stride,feature_set,n_features,model,Delta,chi,chi_err
1,20,20,KMeans,0.036,0,0
1,20,20,KMeans,0.0366,0,0
1,20,20,KMeans,0.037,0,0
1,20,20,KMeans,0.0374,0,0
1,20,20,KMeans,0.0378,0.0170301195057854,0.0106852288210186
1,20,20,KMeans,0.0382,0.262756489162568,0.0385490109802196
1,20,20,KMeans,0.0386,0.0160967845885397,0.0103473970870702
1,20,20,KMeans,0.039,0,0
1,20,20,KMeans,0.0394,0,0
1,20,20,KMeans,0.0398,0,0
1,20,20,KMeans,0.0402,0,0
1,20,20,KMeans,0.041,0,0
5000,20,20,Agglomerative,0.036,0,0
5000,20,20,Agglomerative,0.0366,0,0
5000,20,20,Agglomerative,0.037,0,0
5000,20,20,Agglomerative,0.0374,0,0
5000,20,20,Agglomerative,0.0378,0,0
5000,20,20,Agglomerative,0.0382,0.0714285714285709,0.0714285714285715
5000,20,20,Agglomerative,0.0386,0,0
5000,20,20,Agglomerative,0.039,0.04,0.04
5000,20,20,Agglomerative,0.0394,0,0
5000,20,20,Agglomerative,0.0398,0,0
5000,20,20,Agglomerative,0.0402,0,0
5000,20,20,Agglomerative,0.041,0,0
1000,20,20,Agglomerative,0.036,0,0
1000,20,20,Agglomerative,0.0366,0,0
1000,20,20,Agglomerative,0.037,0,0
1000,20,20,Agglomerative,0.0374,0,0
1000,20,20,Agglomerative,0.0378,0,0
1000,20,20,Agglomerative,0.0382,0.160494743351886,0.111020408163265
1000,20,20,Agglomerative,0.0386,0.208333333333335,0.0291341785907005
1000,20,20,Agglomerative,0.039,0,0
1000,20,20,Agglomerative,0.0394,0,0
1000,20,20,Agglomerative,0.0398,0,0
1000,20,20,Agglomerative,0.0402,0,0
1000,20,20,Agglomerative,0.041,0,0
500,20,20,Agglomerative,0.036,0,0
500,20,20,Agglomerative,0.0366,0,0
500,20,20,Agglomerative,0.037,0,0
500,20,20,Agglomerative,0.0374,0,0
500,20,20,Agglomerative,0.0378,0,0
500,20,20,Agglomerative,0.0382,0.0156259349289454,0.0154464285714286
500,20,20,Agglomerative,0.0386,0.072955744733479,0.0654527559055118
500,20,20,Agglomerative,0.039,0.031471338780883,0.0168268818608424
500,20,20,Agglomerative,0.0394,0,0
500,20,20,Agglomerative,0.0398,0,0
500,20,20,Agglomerative,0.0402,0,0
500,20,20,Agglomerative,0.041,0,0
250,20,20,Agglomerative,0.036,0,0
250,20,20,Agglomerative,0.0366,0,0
250,20,20,Agglomerative,0.037,0,0
250,20,20,Agglomerative,0.0374,0.155779933502097,0.085213567839196
250,20,20,Agglomerative,0.0378,0.206164274444169,0.0298110287573157
250,20,20,Agglomerative,0.0382,0.00308641975308645,0.00308641975308642
250,20,20,Agglomerative,0.0386,0,0
250,20,20,Agglomerative,0.039,0,0
250,20,20,Agglomerative,0.0394,0,0
250,20,20,Agglomerative,0.0398,0,0
250,20,20,Agglomerative,0.0402,0,0
250,20,20,Agglomerative,0.041,0,0
100,20,20,Agglomerative,0.036,0,0
100,20,20,Agglomerative,0.0366,0,0
100,20,20,Agglomerative,0.037,0,0
100,20,20,Agglomerative,0.0374,0,0
100,20,20,Agglomerative,0.0378,0,0
