feature_set,n_features,model,calibration,Delta,mean,mean_err
20,20,Gradient Boosted Trees,calibrated,0.0366,0.000515156548394691,0.000142964039561561
20,20,Gradient Boosted Trees,calibrated,0.037,0.0115823066551661,0.00166891465630706
20,20,Gradient Boosted Trees,calibrated,0.0374,0.0207738551609978,0.000810064525116632
20,20,Gradient Boosted Trees,calibrated,0.0378,0.112400172477675,0.0299472573910572
20,20,Gradient Boosted Trees,calibrated,0.0382,0.689642520285222,0.0688442367368357
20,20,Gradient Boosted Trees,calibrated,0.0386,0.876196041493101,0.0515738505499618
20,20,Gradient Boosted Trees,calibrated,0.039,0.999465281792243,0.000221797427770565
20,20,Gradient Boosted Trees,calibrated,0.0394,0.999802193924988,2.43350024686114E-06
20,20,Gradient Boosted Trees,calibrated,0.0398,0.999804824737256,2.18688573956263E-15
20,20,Gradient Boosted Trees,calibrated,0.0402,0.999804824737267,3.26337589322524E-15
20,20,Gradient Boosted Trees,calibrated,0.041,0.999804824737245,3.26337589322524E-15
20,20,Gradient Boosted Trees,uncalibrated,0.036,2.32127408636935E-05,1.06712705539645E-19
20,20,Gradient Boosted Trees,uncalibrated,0.0366,0.000123086580928866,5.12661975996213E-05
20,20,Gradient Boosted Trees,uncalibrated,0.037,0.00418265358158241,0.000630804354631231
20,20,Gradient Boosted Trees,uncalibrated,0.0374,0.00782180360484365,0.000421366766491103
20,20,Gradient Boosted Trees,uncalibrated,0.0378,0.101152979645222,0.0313822771728761
