feature_set,n_features,model,algorithm,n_neighbors,calibration,Delta,chi,chi_err
30,30,KNN,auto,201,uncalibrated,0.0398,0,0
30,30,KNN,auto,201,uncalibrated,0.0402,0,0
30,30,KNN,auto,201,uncalibrated,0.041,0,0
30,30,KNN,kd_tree,1,uncalibrated,0.036,0,0
30,30,KNN,kd_tree,1,uncalibrated,0.0366,0,0
30,30,KNN,kd_tree,1,uncalibrated,0.037,0,0
30,30,KNN,kd_tree,1,uncalibrated,0.0374,0,0
30,30,KNN,kd_tree,1,uncalibrated,0.0378,0.11882856425329,0.0315193523220111
30,30,KNN,kd_tree,1,uncalibrated,0.0382,0.117406532390514,0.0403923154120779
30,30,KNN,kd_tree,1,uncalibrated,0.0386,0,0
30,30,KNN,kd_tree,1,uncalibrated,0.039,0,0
30,30,KNN,kd_tree,1,uncalibrated,0.0394,0,0
30,30,KNN,kd_tree,1,uncalibrated,0.0398,0,0
30,30,KNN,kd_tree,1,uncalibrated,0.0402,0,0
30,30,KNN,kd_tree,1,uncalibrated,0.041,0,0
30,30,KNN,kd_tree,3,uncalibrated,0.036,0,0
30,30,KNN,kd_tree,3,uncalibrated,0.0366,0,0
30,30,KNN,kd_tree,3,uncalibrated,0.037,0,0
30,30,KNN,kd_tree,3,uncalibrated,0.0374,0,0
30,30,KNN,kd_tree,3,uncalibrated,0.0378,0.112866606269557,0.0308362972422654
30,30,KNN,kd_tree,3,uncalibrated,0.0382,0.114216755275489,0.0402429940021908
30,30,KNN,kd_tree,3,uncalibrated,0.0386,0.000509100165457491,0.000509100165457554
30,30,KNN,kd_tree,3,uncalibrated,0.039,0,0
30,30,KNN,kd_tree,3,uncalibrated,0.0394,0,0
30,30,KNN,kd_tree,3,uncalibrated,0.0398,0,0
30,30,KNN,kd_tree,3,uncalibrated,0.0402,0,0
30,30,KNN,kd_tree,3,uncalibrated,0.041,0,0
30,30,KNN,kd_tree,5,uncalibrated,0.036,0,0
30,30,KNN,kd_tree,5,uncalibrated,0.0366,0,0
30,30,KNN,kd_tree,5,uncalibrated,0.037,0,0
30,30,KNN,kd_tree,5,uncalibrated,0.0374,0,0
30,30,KNN,kd_tree,5,uncalibrated,0.0378,0.112001345845045,0.0304781787658727
30,30,KNN,kd_tree,5,uncalibrated,0.0382,0.113651142767481,0.0396252549473578
30,30,KNN,kd_tree,5,uncalibrated,0.0386,0.00018327605956474,0.000183276059564719
30,30,KNN,kd_tree,5,uncalibrated,0.039,0,0
30,30,KNN,kd_tree,5,uncalibrated,0.0394,0,0
30,30,KNN,kd_tree,5,uncalibrated,0.0398,0,0
30,30,KNN,kd_tree,5,uncalibrated,0.0402,0,0
30,30,KNN,kd_tree,5,uncalibrated,0.041,0,0
30,30,KNN,kd_tree,7,uncalibrated,0.036,0,0
30,30,KNN,kd_tree,7,uncalibrated,0.0366,0,0
30,30,KNN,kd_tree,7,uncalibrated,0.037,0,0
30,30,KNN,kd_tree,7,uncalibrated,0.0374,0,0
