feature_set,n_features,model,calibration,Delta,mean,mean_err
12,12,Logistic Regression,calibrated,0.0366,0.000853191251559622,0.000107324191925981
12,12,Logistic Regression,calibrated,0.037,0.0117567165148794,0.00406246320190087
12,12,Logistic Regression,calibrated,0.0374,0.104115641992928,0.0458269525284262
12,12,Logistic Regression,calibrated,0.0378,0.372366795432778,0.0383693139639656
12,12,Logistic Regression,calibrated,0.0382,0.838933067240473,0.0533289990064422
12,12,Logistic Regression,calibrated,0.0386,0.96699190891895,0.0124286379281854
12,12,Logistic Regression,calibrated,0.039,0.998657265130651,0.000538731854663133
12,12,Logistic Regression,calibrated,0.0394,0.99948838306326,6.59475202461498E-05
12,12,Logistic Regression,calibrated,0.0398,0.999723028370268,1.75433712283923E-05
12,12,Logistic Regression,calibrated,0.0402,0.999710835817721,3.75452541123145E-05
12,12,Logistic Regression,calibrated,0.041,0.999804225617658,1.73287559729201E-06
12,12,Logistic Regression,uncalibrated,0.036,0.000109750669096596,2.98419603574363E-06
12,12,Logistic Regression,uncalibrated,0.0366,0.000708330301106682,9.46629796347962E-05
12,12,Logistic Regression,uncalibrated,0.037,0.0110899004059086,0.00405765776347573
12,12,Logistic Regression,uncalibrated,0.0374,0.107765840042957,0.0490167373388262
12,12,Logistic Regression,uncalibrated,0.0378,0.394070726624927,0.0405277000152913
12,12,Logistic Regression,uncalibrated,0.0382,0.859234651098713,0.0475649476779999
12,12,Logistic Regression,uncalibrated,0.0386,0.974618345204198,0.00979975331300455
12,12,Logistic Regression,uncalibrated,0.039,0.999114978053655,0.000365228440458831
12,12,Logistic Regression,uncalibrated,0.0394,0.999679300910753,4.32992231361302E-05
12,12,Logistic Regression,uncalibrated,0.0398,0.999832893074498,1.08026772484807E-05
12,12,Logistic Regression,uncalibrated,0.0402,0.99982367022963,2.40287380019466E-05
12,12,Logistic Regression,uncalibrated,0.041,0.999883358753961,1.06205318822528E-06
12,12,Logistic Regression C = 0.00175,calibrated,0.036,0.000109480730997017,2.9040631149151E-06
12,12,Logistic Regression C = 0.00175,calibrated,0.0366,0.000676918701993324,8.79547855873176E-05
12,12,Logistic Regression C = 0.00175,calibrated,0.037,0.00991863917639855,0.00350724240293821
12,12,Logistic Regression C = 0.00175,calibrated,0.0374,0.0911424672090301,0.0406956877588159
12,12,Logistic Regression C = 0.00175,calibrated,0.0378,0.338722691407133,0.036497728056825
12,12,Logistic Regression C = 0.00175,calibrated,0.0382,0.816853390714503,0.0605131622009855
12,12,Logistic Regression C = 0.00175,calibrated,0.0386,0.960985384511195,0.0148569038139097
12,12,Logistic Regression C = 0.00175,calibrated,0.039,0.998552483958068,0.000594490763648703
12,12,Logistic Regression C = 0.00175,calibrated,0.0394,0.999471002086009,7.07909972348975E-05
12,12,Logistic Regression C = 0.00175,calibrated,0.0398,0.9997162572422,1.95869615075635E-05
12,12,Logistic Regression C = 0.00175,calibrated,0.0402,0.999706615325147,3.94064715323883E-05
12,12,Logistic Regression C = 0.00175,calibrated,0.041,0.999802577702806,1.89282316692374E-06
12,12,Logistic Regression C = 0.00175,uncalibrated,0.036,0.0175526151525097,0.000169105001616515
12,12,Logistic Regression C = 0.00175,uncalibrated,0.0366,0.0353379191342679,0.00162456664715751
12,12,Logistic Regression C = 0.00175,uncalibrated,0.037,0.106224599256995,0.0127664614012589
12,12,Logistic Regression C = 0.00175,uncalibrated,0.0374,0.262054617094799,0.0498945121938707
12,12,Logistic Regression C = 0.00175,uncalibrated,0.0378,0.460971798506697,0.0231869312031448
12,12,Logistic Regression C = 0.00175,uncalibrated,0.0382,0.752034104733157,0.0502087330509189
12,12,Logistic Regression C = 0.00175,uncalibrated,0.0386,0.870400664092599,0.0264455749950204
12,12,Logistic Regression C = 0.00175,uncalibrated,0.039,0.966065531229082,0.00713594641209681
12,12,Logistic Regression C = 0.00175,uncalibrated,0.0394,0.976538000099111,0.00130078467139511
12,12,Logistic Regression C = 0.00175,uncalibrated,0.0398,0.982078561196168,0.000450459426310934
12,12,Logistic Regression C = 0.00175,uncalibrated,0.0402,0.981676764648737,0.00108524769966656
12,12,Logistic Regression C = 0.00175,uncalibrated,0.041,0.984599597220997,6.14345202680827E-05
12,12,kNN,calibrated,0.036,0.000221650878584332,1.19692678976814E-18
12,12,kNN,calibrated,0.0366,0.000221650878584334,1.19692678976814E-18
12,12,kNN,calibrated,0.037,0.000221650878584332,1.051173006585E-18
12,12,kNN,calibrated,0.0374,0.000221663527972407,1.26493880778781E-08
12,12,kNN,calibrated,0.0378,0.0314228852806996,0.0155891215993193
12,12,kNN,calibrated,0.0382,0.672215548248876,0.133260699107203
12,12,kNN,calibrated,0.0386,0.98877554051834,0.00746787391033331
12,12,kNN,calibrated,0.039,0.999804824711331,5.88313455706836E-15
12,12,kNN,calibrated,0.0394,0.999804824711349,5.88313455706836E-15
12,12,kNN,calibrated,0.0398,0.999804824711337,5.57327535144975E-15
12,12,kNN,calibrated,0.0402,0.999804824711345,5.57327535144975E-15
12,12,kNN,calibrated,0.041,0.999804824711357,3.92208970471224E-15
12,12,kNN,uncalibrated,0.036,0,0
12,12,kNN,uncalibrated,0.0366,0,0
12,12,kNN,uncalibrated,0.037,0,0
12,12,kNN,uncalibrated,0.0374,0,0
12,12,kNN,uncalibrated,0.0378,0.0347781363453005,0.0171450577786495
12,12,kNN,uncalibrated,0.0382,0.690414,0.12259
12,12,kNN,uncalibrated,0.0386,0.992389583333335,0.00562266786856231
12,12,kNN,uncalibrated,0.039,1,0
12,12,kNN,uncalibrated,0.0394,1,0
12,12,kNN,uncalibrated,0.0398,1,0
12,12,kNN,uncalibrated,0.0402,1,0
12,12,kNN,uncalibrated,0.041,1,0
12,12,SVM (RBF),calibrated,0.036,0.000208906151577276,1.59342840108042E-06
12,12,SVM (RBF),calibrated,0.0366,0.000422064997496295,2.52681753561556E-05
12,12,SVM (RBF),calibrated,0.037,0.00250011052096488,0.000726464532543582
12,12,SVM (RBF),calibrated,0.0374,0.022810995705193,0.0115308346214774
12,12,SVM (RBF),calibrated,0.0378,0.138752686352214,0.0233264011380015
12,12,SVM (RBF),calibrated,0.0382,0.660114099622346,0.112959468917787
12,12,SVM (RBF),calibrated,0.0386,0.914118997951063,0.0346689894364674
12,12,SVM (RBF),calibrated,0.039,0.998183616587787,0.000836169852827418
12,12,SVM (RBF),calibrated,0.0394,0.999462571596679,8.22535325338352E-05
12,12,SVM (RBF),calibrated,0.0398,0.999750893181453,1.59140863225614E-05
12,12,SVM (RBF),calibrated,0.0402,0.999712254165901,4.42937769006835E-05
12,12,SVM (RBF),calibrated,0.041,0.999808101184354,1.28358693711084E-06
12,12,SVM (RBF),uncalibrated,0.036,0.24748993445438,0.000166404176465252
12,12,SVM (RBF),uncalibrated,0.0366,0.262542508025969,0.00118527584865634
12,12,SVM (RBF),uncalibrated,0.037,0.302812049736323,0.00550843284055441
12,12,SVM (RBF),uncalibrated,0.0374,0.361288331480228,0.0164548888627845
12,12,SVM (RBF),uncalibrated,0.0378,0.423931237612293,0.00726722118191659
12,12,SVM (RBF),uncalibrated,0.0382,0.534340329737321,0.0268598075411118
12,12,SVM (RBF),uncalibrated,0.0386,0.598209958409748,0.0212437118406063
12,12,SVM (RBF),uncalibrated,0.039,0.7053674070608,0.0159959343788553
12,12,SVM (RBF),uncalibrated,0.0394,0.726219052836662,0.00338816342149766
12,12,SVM (RBF),uncalibrated,0.0398,0.743524354183806,0.00115317248599163
12,12,SVM (RBF),uncalibrated,0.0402,0.739955152359655,0.00360217043644978
12,12,SVM (RBF),uncalibrated,0.041,0.749212420125681,0.000151463917966943
12,12,Neural Network,calibrated,0.036,0.000221643441298543,4.42096942344493E-10
12,12,Neural Network,calibrated,0.0366,0.000221765326435876,2.44553077639398E-08
12,12,Neural Network,calibrated,0.037,0.000232038265284094,7.87082431029876E-06
12,12,Neural Network,calibrated,0.0374,0.010043311324391,0.009045581295942
12,12,Neural Network,calibrated,0.0378,0.19819093179229,0.0412422110334192
12,12,Neural Network,calibrated,0.0382,0.840049501592001,0.061312504026341
12,12,Neural Network,calibrated,0.0386,0.996641455882575,0.00205409726674259
12,12,Neural Network,calibrated,0.039,0.999804467012153,2.01012647915721E-07
12,12,Neural Network,calibrated,0.0394,0.999804780352996,1.30340644376629E-08
12,12,Neural Network,calibrated,0.0398,0.99980481866846,1.80356585120806E-09
