feature_set,n_features,model,algorithm,n_neighbors,calibration,Delta,mean,mean_err
30,30,KNN,kd_tree,5,uncalibrated,0.0366,0,0
30,30,KNN,kd_tree,5,uncalibrated,0.037,0,0
30,30,KNN,kd_tree,5,uncalibrated,0.0374,0,0
30,30,KNN,kd_tree,5,uncalibrated,0.0378,0.133468559837728,0.0422012732422699
30,30,KNN,kd_tree,5,uncalibrated,0.0382,0.8658,0.0562891345347099
30,30,KNN,kd_tree,5,uncalibrated,0.0386,0.999541809851099,0.000458190148911724
30,30,KNN,kd_tree,5,uncalibrated,0.039,1,0
30,30,KNN,kd_tree,5,uncalibrated,0.0394,1,0
30,30,KNN,kd_tree,5,uncalibrated,0.0398,1,0
30,30,KNN,kd_tree,5,uncalibrated,0.0402,1,0
30,30,KNN,kd_tree,5,uncalibrated,0.041,1,0
30,30,KNN,kd_tree,7,uncalibrated,0.036,0,0
30,30,KNN,kd_tree,7,uncalibrated,0.0366,0,0
30,30,KNN,kd_tree,7,uncalibrated,0.037,0,0
30,30,KNN,kd_tree,7,uncalibrated,0.0374,0,0
30,30,KNN,kd_tree,7,uncalibrated,0.0378,0.135757751376412,0.0430365847007612
30,30,KNN,kd_tree,7,uncalibrated,0.0382,0.868142857142857,0.0549797117806469
30,30,KNN,kd_tree,7,uncalibrated,0.0386,0.999345442644401,0.000654557355588318
30,30,KNN,kd_tree,7,uncalibrated,0.039,1,0
30,30,KNN,kd_tree,7,uncalibrated,0.0394,1,0
