feature_set,n_features,model,algorithm,n_neighbors,calibration,K0,mean,mean_err
30,30,KNN,auto,35,uncalibrated,4.83,0.9997165532879814,0.0001845671269398949
30,30,KNN,auto,35,uncalibrated,4.84,0.999350649350649,0.0006493506493506218
30,30,KNN,auto,35,uncalibrated,4.85,1.0,0.0
30,30,KNN,auto,35,uncalibrated,4.86,1.0,0.0
30,30,KNN,auto,35,uncalibrated,4.87,1.0,0.0
30,30,KNN,auto,35,uncalibrated,4.88,1.0,0.0
30,30,KNN,auto,35,uncalibrated,4.9,1.0,0.0
30,30,KNN,auto,35,uncalibrated,4.93,1.0,0.0
30,30,KNN,auto,37,uncalibrated,4.67,0.0,0.0
30,30,KNN,auto,37,uncalibrated,4.7,0.0,0.0
30,30,KNN,auto,37,uncalibrated,4.72,0.0,0.0
30,30,KNN,auto,37,uncalibrated,4.73,0.0005460005460005142,0.0002839245696065098
30,30,KNN,auto,37,uncalibrated,4.74,0.014366308055628444,0.008462345840986617
30,30,KNN,auto,37,uncalibrated,4.75,0.07778126964173594,0.012576959385083174
30,30,KNN,auto,37,uncalibrated,4.76,0.22918188458728994,0.024679620251216783
30,30,KNN,auto,37,uncalibrated,4.77,0.5012351060738157,0.02004019783354119
